Source.Event,NOAA.Event
.,NA
AGRICULTURAL.FREEZE,Frost.Freeze
APACHE.COUNTY,NA
ASTRONOMICAL.HIGH.TIDE,Coastal.Flood
ASTRONOMICAL.LOW.TIDE,Astronomical.Low.Tide
AVALANCE,Avalanche
AVALANCHE,Avalanche
BEACH.EROSION,High.Surf
BLACK.ICE,Ice.Storm
BLIZZARD,Blizzard
BLIZZARD.WINTER.STORM,Blizzard
BLOWING.DUST,Dust Storm
BLOWING.SNOW,Blizzard
BREAKUP.FLOODING,Flood
BRUSH.FIRE,Wildfire
COASTAL.EROSION,Coastal.Flood
COASTAL.FLOOD,Coastal.Flood
COASTAL.FLOODING,Coastal.Flood
COASTAL.FLOODING.EROSION,Coastal.Flood
COASTAL.STORM,Tropical.Storm
COASTAL.SURGE,Storm.Surge.Tide
COASTALSTORM,Tropical.Storm
COLD,Cold.Wind.Chill
COLD.AIR.TORNADO,Tornado
COLD.AND.SNOW,Winter.Storm
COLD.AND.WET.CONDITIONS,Cold.Wind.Chill
COLD.TEMPERATURE,Cold.Wind.Chill
COLD.WAVE,Cold.Wind.Chill
COLD.WEATHER,Cold.Wind.Chill
COLD.WIND.CHILL,Cold.Wind.Chill
COLD.WINDS,Cold.Wind.Chill
COOL.AND.WET,Cold.Wind.Chill
DAM.BREAK,Flash.Flood
DAMAGING.FREEZE,Frost.Freeze
DENSE.FOG,Dense.Fog
DENSE.SMOKE,Dense.Smoke
DOWNBURST,Thunderstorm.Wind
DROUGHT,Drought
DROUGHT.EXCESSIVE.HEAT,Drought
DROWNING,NA
DRY.MICROBURST,Thunderstorm.Wind
DRY.MIRCOBURST.WINDS,Thunderstorm.Wind
DUST.DEVIL,Dust.Devil
DUST.DEVIL.WATERSPOUT,Dust.Devil
DUST.STORM,Dust.Storm
DUST.STORM.HIGH.WINDS,Dust.Storm
EARLY.FROST,Frost.Freeze
EROSION.CSTL.FLOOD,Coastal.Flood
EXCESSIVE.HEAT,Excessive.Heat
EXCESSIVE.RAINFALL,Heavy.Rain
EXCESSIVE.SNOW,Heavy.Snow
EXCESSIVE.WETNESS,Heavy.Rain
EXTENDED.COLD,Extreme.Cold.Wind.Chill
EXTREME.COLD,Extreme.Cold.Wind.Chill
EXTREME.COLD.WIND.CHILL,Extreme.Cold.Wind.Chill
EXTREME.HEAT,Excessive.Heat
EXTREME.WIND.CHILL,Extreme.Cold.Wind.Chill
EXTREME.WINDCHILL,Extreme.Cold.Wind.Chill
FALLING.SNOW.ICE,Winter.Weather
FLASH.FLOOD,Flash.Flood
FLASH.FLOOD.,Flash.Flood
FLASH.FLOOD.FLOOD,Flash.Flood
FLASH.FLOOD.FROM.ICE.JAMS,Flash.Flood
FLASH.FLOOD.HEAVY.RAIN,Flash.Flood
FLASH.FLOOD.LANDSLIDE,Flash.Flood
FLASH.FLOOD.LANDSLIDES,Flash.Flood
FLASH.FLOOD.STREET,Flash.Flood
FLASH.FLOOD.WINDS,Flash.Flood
FLASH.FLOODING,Flash.Flood
FLASH.FLOODING.FLOOD,Flash.Flood
FLASH.FLOODING.THUNDERSTORM.WI,Flash.Flood
FLASH.FLOODS,Flash.Flood
FLOOD,Flood
FLOOD.FLASH,Flash.Flood
FLOOD.FLASH.FLOOD,Flash.Flood
FLOOD.FLASHFLOOD,Flash.Flood
FLOOD.HEAVY.RAIN,Flood
FLOOD.RAIN.WINDS,Flood
FLOOD.RIVER.FLOOD,Flood
FLOODING,Flood
FLOODING.HEAVY.RAIN,Flood
FLOODS,Flood
FOG,Dense.Fog
FOG.AND.COLD.TEMPERATURES,Dense.Fog
FOREST.FIRES,Wildfire
FREEZE,Frost.Freeze
